Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
1,13.96,13.96,2,14.06,14.06,4,14.38,14.38,3,14.20,14.20
1,10.36,24.32,2,10.38,24.44,4,10.41,24.79,3,10.39,24.59
1,10.03,34.35,2,10.00,34.44,4,9.92,34.71,3,9.97,34.56
1,10.09,44.44,2,10.12,44.56,4,10.15,44.86,3,10.16,44.72
1,9.56,54.00,2,9.52,54.08,4,9.42,54.28,3,9.46,54.18
2,9.62,1:03.62,1,9.47,1:03.55,4,9.60,1:03.88,3,9.56,1:03.74
3,9.66,1:13.28,1,9.16,1:12.71,4,9.51,1:13.39,2,9.27,1:13.01
3,9.74,1:23.02,1,9.15,1:21.86,4,9.74,1:23.13,2,8.98,1:21.99
3,10.04,1:33.055,1,9.25,1:31.103,4,9.99,1:33.119,2,9.45,1:31.437
