ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Elisabeth WITT POSITION,Elisabeth WITT LAP TIME,Elisabeth WITT ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME
5,9.35,9.35,2,8.98,8.98,3,9.15,9.15,1,8.90,8.90,6,9.52,9.52,4,9.29,9.29
2,11.44,20.79,3,11.86,20.84,5,11.91,21.06,1,11.84,20.74,6,11.68,21.20,4,11.55,20.84
4,11.17,31.96,2,11.00,31.84,5,10.97,32.03,1,10.97,31.71,6,10.93,32.13,3,11.08,31.92
1,10.11,42.07,2,10.33,42.17,5,10.56,42.59,3,10.66,42.37,6,10.57,42.70,4,10.53,42.45
2,10.77,52.84,3,10.71,52.88,4,10.39,52.98,1,10.25,52.62,6,10.39,53.09,5,10.56,53.01
2,10.71,1:03.55,3,10.77,1:03.65,5,10.77,1:03.75,1,10.79,1:03.41,4,10.63,1:03.72,6,10.92,1:03.93
2,11.17,1:14.72,3,11.18,1:14.83,5,11.32,1:15.07,1,11.30,1:14.71,4,11.26,1:14.98,6,11.31,1:15.24
2,9.92,1:24.64,1,9.67,1:24.50,5,10.55,1:25.62,3,10.07,1:24.78,4,9.97,1:24.95,6,10.46,1:25.70
2,9.92,1:34.56,1,9.85,1:34.35,6,10.57,1:36.19,3,9.86,1:34.64,4,9.84,1:34.79,5,10.24,1:35.94
2,9.83,1:44.39,1,9.91,1:44.26,6,10.71,1:46.90,3,9.79,1:44.43,4,9.84,1:44.63,5,10.40,1:46.34
3,10.12,1:54.51,1,9.94,1:54.20,6,11.02,1:57.92,2,9.91,1:54.34,4,9.99,1:54.62,5,10.56,1:56.90
3,9.96,2:04.47,1,10.00,2:04.20,6,11.40,2:09.32,2,9.94,2:04.28,4,9.96,2:04.58,5,10.86,2:07.76
3,9.83,2:14.30,1,9.95,2:14.15,6,11.71,2:21.03,2,9.98,2:14.26,4,9.89,2:14.47,5,11.00,2:18.76
1,9.61,2:23.909,2,9.96,2:24.102,6,11.84,2:32.870,3,10.01,2:24.269,4,9.85,2:24.315,5,11.25,2:30.008
