Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
2,6.87,6.87,3,7.02,7.02,1,6.77,6.77,4,7.12,7.12
1,8.82,15.69,3,8.85,15.87,2,8.94,15.71,4,8.86,15.98
1,8.45,24.14,3,8.41,24.28,2,8.49,24.20,4,8.40,24.38
1,8.53,32.67,4,8.65,32.93,2,8.59,32.79,3,8.54,32.92
1,8.67,41.338,4,8.84,41.766,2,8.76,41.543,3,8.72,41.640
