Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME
1,14.17,14.17,3,14.42,14.42,4,14.53,14.53,2,14.27,14.27
1,11.18,25.35,3,11.21,25.63,4,11.21,25.74,2,11.17,25.44
1,11.02,36.37,3,11.01,36.64,4,11.01,36.75,2,11.03,36.47
1,10.55,46.92,3,10.36,47.00,4,10.28,47.03,2,10.52,46.99
1,9.86,56.78,2,9.87,56.87,4,10.11,57.14,3,10.01,57.00
1,9.88,1:06.66,2,9.90,1:06.77,4,9.82,1:06.96,3,9.87,1:06.87
1,9.89,1:16.55,2,9.84,1:16.61,4,9.93,1:16.89,3,9.89,1:16.76
2,9.83,1:26.38,1,9.75,1:26.36,4,9.86,1:26.75,3,9.89,1:26.65
2,10.02,1:36.395,1,9.81,1:36.165,3,10.16,1:36.902,0,,PEN
