Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME
2,13.07,13.07,1,13.01,13.01,3,13.23,13.23,5,13.50,13.50,4,13.40,13.40
1,9.95,23.02,2,10.08,23.09,3,9.92,23.15,5,9.92,23.42,4,9.90,23.30
1,10.13,33.15,2,10.11,33.20,3,10.20,33.35,5,10.17,33.59,4,10.16,33.46
1,10.15,43.30,2,10.15,43.35,3,10.09,43.44,5,10.10,43.69,4,10.11,43.57
1,10.15,53.45,2,10.16,53.51,3,10.19,53.63,5,10.16,53.85,4,10.12,53.69
2,10.13,1:03.58,3,10.15,1:03.66,4,10.18,1:03.81,5,10.05,1:03.90,1,9.82,1:03.51
2,9.78,1:13.36,3,9.75,1:13.41,4,9.69,1:13.50,5,9.76,1:13.66,1,9.52,1:13.03
2,9.76,1:23.12,4,9.82,1:23.23,3,9.73,1:23.23,5,9.66,1:23.32,1,9.67,1:22.70
2,9.93,1:33.042,3,9.85,1:33.074,4,10.15,1:33.371,5,10.10,1:33.413,1,9.86,1:32.559
