Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,13.50,13.50,1,13.41,13.41,4,13.88,13.88,3,13.68,13.68
2,9.82,23.32,1,9.80,23.21,4,9.88,23.76,3,9.82,23.50
2,9.54,32.86,1,9.55,32.76,4,9.39,33.15,3,9.50,33.00
2,9.49,42.35,1,9.49,42.25,4,9.52,42.67,3,9.49,42.49
1,9.46,51.81,2,9.61,51.86,4,9.46,52.13,3,9.53,52.02
1,9.32,1:01.13,3,9.63,1:01.49,4,20.92,1:13.05,2,9.43,1:01.45
1,9.38,1:10.51,3,9.86,1:11.35,4,17.97,1:31.02,2,9.20,1:10.65
1,9.35,1:19.86,3,10.15,1:21.50,4,13.00,1:44.02,2,9.39,1:20.04
1,9.22,1:29.075,3,10.40,1:31.891,4,18.53,2:02.55,2,9.10,1:29.138
