LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME
3,11.00,11.00,5,11.20,11.20,2,10.84,10.84,4,11.08,11.08,1,10.67,10.67
3,16.40,27.40,5,16.67,27.87,2,16.36,27.20,4,16.50,27.58,1,16.33,27.00
3,14.34,41.74,5,14.20,42.07,2,14.41,41.61,4,14.30,41.88,1,14.47,41.47
3,12.79,54.53,5,12.83,54.90,1,12.62,54.23,4,12.84,54.72,2,12.87,54.34
4,11.23,1:05.76,5,11.01,1:05.91,2,11.38,1:05.61,3,10.94,1:05.66,1,11.14,1:05.48
4,11.34,1:17.10,5,11.31,1:17.22,2,11.24,1:16.85,3,11.31,1:16.97,1,11.22,1:16.70
4,10.24,1:27.34,5,10.23,1:27.45,2,10.19,1:27.04,3,10.24,1:27.21,1,10.31,1:27.01
4,9.70,1:37.04,5,9.71,1:37.16,2,9.82,1:36.86,3,9.68,1:36.89,1,9.84,1:36.85
1,9.05,1:46.09,3,9.13,1:46.29,2,9.25,1:46.11,4,9.76,1:46.65,5,9.92,1:46.77
1,8.88,1:54.97,3,8.97,1:55.26,2,8.98,1:55.09,4,9.15,1:55.80,5,9.19,1:55.96
1,9.10,2:04.07,3,9.08,2:04.34,2,9.06,2:04.15,4,9.35,2:05.15,5,9.26,2:05.22
1,9.24,2:13.31,3,9.21,2:13.55,2,9.26,2:13.41,4,9.53,2:14.68,5,9.53,2:14.75
1,9.45,2:22.76,3,9.49,2:23.04,2,9.44,2:22.85,5,9.86,2:24.54,4,9.54,2:24.29
1,9.77,2:32.528,2,9.97,2:33.001,0,,PEN,4,10.92,2:35.459,3,9.99,2:34.273
