Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Wojciech KRASNICKI POSITION,Wojciech KRASNICKI LAP TIME,Wojciech KRASNICKI ELAPSED TIME
4,8.80,8.80,3,8.68,8.68,2,8.62,8.62,5,8.81,8.81,1,8.37,8.37,6,8.91,8.91
6,11.22,20.02,5,11.32,20.00,3,11.29,19.91,1,11.01,19.82,2,11.45,19.82,4,11.07,19.98
6,10.60,30.62,5,10.52,30.52,4,10.43,30.34,2,10.23,30.05,3,10.34,30.16,1,9.99,29.97
6,10.62,41.24,5,10.58,41.10,4,10.66,41.00,2,10.74,40.79,3,10.77,40.93,1,10.72,40.69
6,11.03,52.27,4,11.01,52.11,5,11.17,52.17,2,11.23,52.02,3,11.13,52.06,1,11.23,51.92
6,10.51,1:02.78,3,10.40,1:02.51,5,10.52,1:02.69,4,10.52,1:02.54,2,10.36,1:02.42,1,10.36,1:02.28
5,10.21,1:12.99,6,10.62,1:13.13,4,10.22,1:12.91,3,10.26,1:12.80,2,10.30,1:12.72,1,10.35,1:12.63
5,10.86,1:23.85,6,10.88,1:24.01,3,10.77,1:23.68,4,10.95,1:23.75,2,10.82,1:23.54,1,10.90,1:23.53
3,9.95,1:33.80,5,9.90,1:33.91,1,10.02,1:33.70,6,10.22,1:33.97,2,10.18,1:33.72,4,10.33,1:33.86
2,9.39,1:43.19,3,9.57,1:43.48,1,9.38,1:43.08,6,10.04,1:44.01,4,9.98,1:43.70,5,10.08,1:43.94
2,9.68,1:52.87,3,9.55,1:53.03,1,9.71,1:52.79,6,10.58,1:54.59,4,9.83,1:53.53,5,10.29,1:54.23
2,9.75,2:02.62,3,9.78,2:02.81,1,9.77,2:02.56,6,11.26,2:05.85,4,10.06,2:03.59,5,10.70,2:04.93
1,9.56,2:12.18,3,9.87,2:12.68,2,9.80,2:12.36,6,11.46,2:17.31,4,10.27,2:13.86,5,11.23,2:16.16
1,9.93,2:22.111,3,10.31,2:22.988,2,9.99,2:22.344,6,12.12,2:29.423,4,10.74,2:24.594,5,11.89,2:28.047
