BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,ZHANG Weizhi POSITION,ZHANG Weizhi LAP TIME,ZHANG Weizhi ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME
1,10.08,10.08,2,10.28,10.28,4,10.69,10.69,3,10.50,,5,10.77,10.77
1,12.90,22.98,2,12.84,23.12,4,12.70,23.39,3,12.75,,5,12.68,23.45
1,11.78,34.76,2,11.74,34.86,4,11.74,35.13,3,11.75,,5,11.71,35.16
2,11.21,45.97,5,11.38,46.24,4,11.10,46.23,3,11.10,,1,10.60,45.76
3,10.37,56.34,5,10.29,56.53,4,10.21,56.44,2,10.03,,1,10.35,56.11
3,9.82,1:06.16,5,9.89,1:06.42,4,9.85,1:06.29,1,9.82,,2,9.92,1:06.03
1,9.75,1:15.91,5,9.77,1:16.19,4,9.86,1:16.15,2,9.98,,3,9.94,1:15.97
2,9.60,1:25.51,5,9.70,1:25.89,4,9.60,1:25.75,3,9.70,,1,9.39,1:25.36
2,9.44,1:34.95,5,9.40,1:35.29,4,9.41,1:35.16,3,9.35,,1,9.48,1:34.84
3,9.34,1:44.29,5,9.23,1:44.52,4,9.26,1:44.42,1,9.05,,2,9.33,1:44.17
3,8.88,1:53.17,5,9.19,1:53.71,4,8.96,1:53.38,1,9.07,,2,8.95,1:53.12
1,9.15,2:02.32,5,9.56,2:03.27,3,9.11,2:02.49,2,9.29,,4,9.50,2:02.62
1,8.91,2:11.23,5,10.04,2:13.31,3,9.34,2:11.83,2,9.33,,4,9.35,2:11.97
1,9.15,2:20.38,5,10.48,2:23.79,2,9.38,2:21.21,3,9.61,,4,9.44,2:21.41
