Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME
2,12.95,12.95,1,12.84,12.84,3,13.04,13.04,4,13.19,13.19
1,9.95,22.90,2,10.19,23.03,3,10.12,23.16,4,10.11,23.30
1,9.84,32.74,2,9.82,32.85,3,9.77,32.93,4,9.73,33.03
2,9.97,42.71,1,9.86,42.71,3,9.93,42.86,4,10.01,43.04
3,9.87,52.58,1,9.59,52.30,2,9.59,52.45,4,9.56,52.60
4,9.76,1:02.34,1,9.58,1:01.88,2,9.68,1:02.13,3,9.61,1:02.21
4,9.87,1:12.21,1,9.65,1:11.53,3,9.90,1:12.03,2,9.59,1:11.80
3,9.99,1:22.20,1,9.80,1:21.33,4,10.21,1:22.24,2,9.73,1:21.53
3,10.36,1:32.560,1,9.91,1:31.236,4,10.57,1:32.810,2,9.84,1:31.371
