MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME
4,14.73,14.73,3,14.59,14.59,2,14.45,14.45,1,14.30,
4,11.94,26.67,3,11.96,26.55,2,11.99,26.44,1,11.99,
4,11.68,38.35,2,11.62,38.17,3,11.75,38.19,1,11.77,
4,10.47,48.82,2,10.44,48.61,3,10.53,48.72,1,10.38,
4,9.90,58.72,2,9.88,58.49,3,9.87,58.59,1,9.92,
3,9.50,1:08.22,2,9.62,1:08.11,4,9.79,1:08.38,1,9.73,
1,9.57,1:17.79,3,9.89,1:18.00,2,9.48,1:17.86,4,10.66,
1,9.62,1:27.41,3,9.60,1:27.60,2,9.65,1:27.51,4,11.41,
1,9.84,1:37.222,3,9.80,1:37.371,2,9.80,1:37.294,4,12.02,
