Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Martin JOHANSSON POSITION,Martin JOHANSSON LAP TIME,Martin JOHANSSON ELAPSED TIME
1,6.661,6.661,5,7.322,7.322,2,6.744,6.744,3,6.754,6.754,4,6.964,6.964
2,9.142,15.803,4,8.772,16.093,3,9.109,15.853,1,9.034,15.787,5,9.151,16.115
4,9.394,25.196,3,8.917,25.009,1,8.868,24.721,5,9.433,25.220,2,8.668,24.782
4,8.906,34.101,3,8.992,34.001,2,9.066,33.787,5,9.019,34.239,1,8.925,33.706
4,9.46,43.560,3,9.24,43.236,1,9.26,43.038,0,,DQ,2,9.40,43.105
