AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,OH Se-Jong POSITION,OH Se-Jong LAP TIME,OH Se-Jong ELAPSED TIME
2,13.720,13.720,4,13.896,13.896,3,13.894,13.894,1,13.618,13.618
2,10.459,24.179,3,10.293,24.189,4,10.397,24.290,1,10.512,24.129
2,9.808,33.986,1,9.746,33.935,4,9.798,34.088,3,9.919,34.048
4,9.724,43.709,1,9.601,43.536,3,9.551,43.639,2,9.562,43.610
4,9.574,53.283,2,9.548,53.083,1,9.318,52.956,3,9.641,53.250
4,9.297,1:02.579,1,9.284,1:02.367,2,9.422,1:02.378,3,9.301,1:02.551
4,9.201,1:11.780,2,9.311,1:11.678,1,9.238,1:11.615,3,9.175,1:11.726
4,9.379,1:21.158,3,9.461,1:21.138,1,9.225,1:20.840,2,9.386,1:21.111
0,,DQ,2,10.23,1:31.366,1,9.86,1:30.694,3,12.22,1:33.327
