J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,12.81,12.81,3,12.94,12.94,1,12.77,12.77,4,13.13,13.13
2,10.12,22.93,4,10.24,23.18,1,10.09,22.86,3,10.02,23.15
1,9.53,32.47,3,9.52,32.71,2,9.75,32.61,4,9.60,32.75
1,9.47,41.94,3,9.47,42.19,2,9.40,42.01,4,9.44,42.20
1,8.79,50.73,2,8.86,51.05,4,9.09,51.11,3,8.88,51.09
1,8.92,59.66,4,9.00,1:00.06,3,8.76,59.88,2,8.78,59.87
1,8.67,1:08.33,4,8.99,1:09.05,2,8.54,1:08.42,3,8.60,1:08.47
1,8.77,1:17.11,2,8.18,1:17.23,4,9.27,1:17.69,3,8.82,1:17.29
1,9.43,1:26.540,4,10.40,1:27.630,3,9.07,1:26.754,2,9.35,1:26.632
