Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Vanessa BELANGER-MARCEAU POSITION,Vanessa BELANGER-MARCEAU LAP TIME,Vanessa BELANGER-MARCEAU ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME
2,13.23,13.23,4,13.45,13.45,3,13.33,13.33,1,13.15,13.15
1,10.18,23.41,4,10.30,23.75,2,10.20,23.53,3,10.45,23.60
1,10.20,33.61,4,10.19,33.94,2,10.19,33.72,3,10.23,33.83
1,10.39,44.00,4,10.34,44.28,2,10.37,44.09,3,10.35,44.18
1,10.42,54.42,4,10.42,54.70,2,10.45,54.54,3,10.46,54.64
1,9.97,1:04.39,4,10.02,1:04.72,2,9.97,1:04.51,3,9.97,1:04.61
1,9.75,1:14.14,4,9.70,1:14.42,2,9.73,1:14.24,3,9.73,1:14.34
1,9.73,1:23.87,4,9.75,1:24.17,2,9.68,1:23.92,3,9.71,1:24.05
3,10.50,1:34.365,2,9.81,1:33.973,0,,PEN,1,9.88,1:33.925
