Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Joanna WILLIAMS POSITION,Joanna WILLIAMS LAP TIME,Joanna WILLIAMS ELAPSED TIME,Alanna KRAUS POSITION,Alanna KRAUS LAP TIME,Alanna KRAUS ELAPSED TIME,Caroline HALLISEY POSITION,Caroline HALLISEY LAP TIME,Caroline HALLISEY ELAPSED TIME
2,7.391,7.391,1,0.287,0.287,3,7.580,7.580,4,7.921,7.921
1,9.631,17.022,3,17.003,17.289,2,9.574,17.154,4,9.757,17.678
1,9.187,26.208,4,9.418,26.706,2,9.246,26.399,3,8.886,26.563
1,9.460,35.667,3,9.719,36.424,2,9.294,35.693,4,9.959,36.522
1,9.83,45.490,4,10.02,46.436,2,9.92,45.609,3,9.76,46.274
