Salvijus RAMANAUSKAS POSITION,Salvijus RAMANAUSKAS LAP TIME,Salvijus RAMANAUSKAS ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,TIBORCZ Daniel POSITION,TIBORCZ Daniel LAP TIME,TIBORCZ Daniel ELAPSED TIME,Ariff Rasydan MOHAMAD FADZLI POSITION,Ariff Rasydan MOHAMAD FADZLI LAP TIME,Ariff Rasydan MOHAMAD FADZLI ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME
3,8.78,8.78,1,8.40,8.40,6,9.30,9.30,4,8.93,8.93,7,9.45,9.45,2,8.55,8.55,5,9.10,9.10
3,11.05,19.83,1,11.14,19.54,6,10.87,20.17,4,11.00,19.93,7,11.13,20.58,2,11.16,19.71,5,10.95,20.05
3,10.96,30.79,1,11.04,30.58,6,10.98,31.15,4,10.98,30.91,7,10.70,31.28,2,10.98,30.69,5,10.96,31.01
3,11.19,41.98,1,11.14,41.72,6,11.29,42.44,4,11.21,42.12,7,11.30,42.58,2,11.20,41.89,5,11.26,42.27
3,11.01,52.99,1,11.08,52.80,6,10.98,53.42,4,11.05,53.17,7,11.00,53.58,2,11.02,52.91,5,11.02,53.29
3,10.92,1:03.91,1,10.93,1:03.73,6,10.87,1:04.29,4,10.86,1:04.03,7,10.85,1:04.43,2,10.92,1:03.83,5,10.85,1:04.14
3,10.94,1:14.85,1,10.89,1:14.62,6,10.94,1:15.23,4,10.94,1:14.97,7,10.91,1:15.34,2,10.92,1:14.75,5,10.94,1:15.08
3,10.39,1:25.24,1,10.38,1:25.00,6,10.35,1:25.58,4,10.37,1:25.34,7,10.70,1:26.04,2,10.36,1:25.11,5,10.37,1:25.45
3,9.98,1:35.22,1,10.03,1:35.03,5,9.76,1:35.34,5,10.00,1:35.34,7,10.88,1:36.92,2,9.98,1:35.09,4,9.79,1:35.24
4,10.02,1:45.24,6,23.06,1:58.09,2,9.58,1:44.92,3,9.85,1:45.19,5,10.99,1:47.91,7,25.64,2:00.73,1,9.50,1:44.74
4,10.21,1:55.45,7,18.77,2:16.86,2,9.40,1:54.32,3,9.59,1:54.78,5,11.37,1:59.28,6,15.51,2:16.24,1,9.45,1:54.19
4,10.49,2:05.94,6,11.43,2:28.29,2,9.38,2:03.70,3,9.93,2:04.71,5,12.08,2:11.36,7,13.46,2:29.70,1,9.39,2:03.58
4,10.71,2:16.65,6,11.26,2:39.55,2,9.40,2:13.10,3,10.35,2:15.06,5,13.59,2:24.95,7,10.43,2:40.13,1,9.36,2:12.94
4,10.98,2:27.63,7,15.87,2:55.42,2,9.71,2:22.81,3,11.09,2:26.15,5,12.56,2:37.51,6,14.89,2:55.02,1,9.64,2:22.58
