Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Ainara EQUISOAIN POSITION,Ainara EQUISOAIN LAP TIME,Ainara EQUISOAIN ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
1,13.50,13.50,3,13.74,13.74,4,13.95,13.95,2,13.65,13.65
1,10.47,23.97,3,10.41,24.15,4,10.28,24.23,2,10.41,24.06
1,10.60,34.57,3,10.62,34.77,4,10.64,34.87,2,10.63,34.69
3,10.41,44.98,2,10.18,44.95,4,10.55,45.42,1,10.04,44.73
3,10.14,55.12,2,10.07,55.02,4,10.48,55.90,1,10.18,54.91
3,10.03,1:05.15,2,10.00,1:05.02,4,10.72,1:06.62,1,9.96,1:04.87
3,9.81,1:14.96,2,9.81,1:14.83,4,11.26,1:17.88,1,9.68,1:14.55
3,10.04,1:25.00,2,10.08,1:24.91,4,11.77,1:29.65,1,9.78,1:24.33
3,10.35,1:35.343,2,10.36,1:35.270,4,12.15,1:41.795,1,10.27,1:34.593
