ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Cyril LAFARGE POSITION,Cyril LAFARGE LAP TIME,Cyril LAFARGE ELAPSED TIME
2,13.216,13.216,1,13.152,13.152,4,13.540,13.540,3,13.537,13.537
1,10.116,23.332,2,10.215,23.367,4,10.022,23.561,3,9.952,23.490
1,9.604,32.936,2,9.648,33.015,3,9.604,33.165,4,9.722,33.211
2,9.275,42.211,1,9.164,42.179,4,9.247,42.412,3,9.051,42.262
2,9.045,51.256,1,8.894,51.073,3,8.941,51.353,4,9.181,51.443
1,9.068,1:00.324,2,9.334,1:00.407,4,13.207,1:04.561,3,9.523,1:00.966
1,9.288,1:09.613,2,9.385,1:09.791,4,15.803,1:20.363,3,9.963,1:10.929
1,9.473,1:19.086,2,9.393,1:19.184,4,17.332,1:37.695,3,10.534,1:21.463
1,9.466,1:28.552,2,9.546,1:28.730,4,16.187,1:53.882,3,11.173,1:32.636
