Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,KIM Sunghan POSITION,KIM Sunghan LAP TIME,KIM Sunghan ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
1,7.12,7.12,2,7.13,7.13,3,7.15,7.15,4,7.43,7.43
2,9.77,16.89,4,9.93,17.06,1,9.39,16.54,3,9.55,16.98
2,9.20,26.09,4,9.21,26.27,1,9.29,25.83,3,9.22,26.20
2,9.44,35.53,4,9.33,35.60,1,9.49,35.32,3,9.39,35.59
4,10.01,45.533,3,9.68,45.276,1,9.68,44.998,2,9.48,45.070
