Kiichi SHIGEHIRO POSITION,Kiichi SHIGEHIRO LAP TIME,Kiichi SHIGEHIRO ELAPSED TIME,Gibson Laurent HIMBEAULT POSITION,Gibson Laurent HIMBEAULT LAP TIME,Gibson Laurent HIMBEAULT ELAPSED TIME,Andras SZIKLASI POSITION,Andras SZIKLASI LAP TIME,Andras SZIKLASI ELAPSED TIME,KOIKE Katsunori POSITION,KOIKE Katsunori LAP TIME,KOIKE Katsunori ELAPSED TIME,KIM Si Un POSITION,KIM Si Un LAP TIME,KIM Si Un ELAPSED TIME,MOON Won Jun POSITION,MOON Won Jun LAP TIME,MOON Won Jun ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME
6,10.97,10.97,5,10.77,,2,10.33,10.33,4,10.45,10.45,7,11.19,11.19,3,10.37,10.37,1,10.26,
6,13.10,24.07,5,13.14,,4,13.36,23.69,2,13.14,23.59,7,13.03,24.22,1,13.13,23.50,2,13.33,
7,11.93,36.00,5,11.95,,4,12.04,35.73,1,11.86,35.45,6,11.69,35.91,2,12.06,35.56,3,12.08,
7,11.31,47.31,6,11.30,,5,11.26,46.99,3,11.26,46.71,1,10.64,46.55,2,11.12,46.68,4,11.22,
6,10.34,57.65,4,10.33,,3,10.32,57.31,7,11.44,58.15,2,10.54,57.09,1,10.38,57.06,5,10.74,
5,10.02,1:07.67,4,10.07,,2,9.97,1:07.28,7,9.78,1:07.93,3,10.35,1:07.44,1,10.15,1:07.21,6,10.17,
5,10.07,1:17.74,4,10.06,,2,10.12,1:17.40,7,10.05,1:17.98,3,10.07,1:17.51,1,10.09,1:17.30,6,10.07,
5,9.84,1:27.58,4,9.89,,3,9.96,1:27.36,6,9.61,1:27.59,1,9.57,1:27.08,2,9.91,1:27.21,7,9.73,
7,9.52,1:37.10,4,9.30,,3,9.31,1:36.67,5,9.32,1:36.91,1,9.31,1:36.39,2,9.37,1:36.58,6,9.41,
7,8.94,1:46.04,4,8.94,,3,9.00,1:45.67,5,8.96,1:45.87,1,8.93,1:45.32,2,8.91,1:45.49,6,8.94,
6,8.70,1:54.74,4,8.74,,3,8.70,1:54.37,5,8.78,1:54.65,1,8.84,1:54.16,2,8.81,1:54.30,7,8.97,
5,8.59,2:03.33,4,8.81,,3,8.91,2:03.28,6,8.92,2:03.57,1,8.78,2:02.94,2,8.82,2:03.12,7,9.18,
3,8.77,2:12.10,6,23.79,,7,35.31,2:38.59,4,9.18,2:12.75,1,8.83,2:11.77,2,8.78,2:11.90,5,9.34,
3,,2:20.869,6,12.22,,5,27.04,3:05.631,4,9.78,2:22.515,1,8.92,2:20.674,2,,2:20.867,5,9.58,
