JIA Haidong POSITION,JIA Haidong LAP TIME,JIA Haidong ELAPSED TIME,MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,KANCHARIN Natthapat POSITION,KANCHARIN Natthapat LAP TIME,KANCHARIN Natthapat ELAPSED TIME,TREACY Ethan POSITION,TREACY Ethan LAP TIME,TREACY Ethan ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME
1,6.74,6.74,2,6.87,6.87,5,7.51,7.51,4,7.21,7.21,3,7.17,7.17
1,8.83,15.57,2,8.90,15.77,5,9.47,16.98,4,9.10,16.31,3,8.99,16.16
1,8.42,23.99,2,8.31,24.08,5,9.09,26.07,4,8.54,24.85,3,8.57,24.73
2,8.76,32.75,1,8.58,32.66,5,9.27,35.34,4,8.65,33.50,3,8.71,33.44
2,9.06,41.81,1,8.78,41.44,5,9.42,44.76,4,9.19,42.69,3,8.99,42.43
