Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME
4,15.30,15.30,1,14.96,14.96,2,14.99,14.99,3,15.00,15.00
4,10.89,26.19,1,11.09,26.06,2,11.18,26.17,3,11.18,26.18
3,10.68,36.88,1,10.78,36.84,2,10.71,36.88,4,10.76,36.94
4,10.54,47.42,1,10.20,47.05,2,10.39,47.28,3,10.41,47.35
4,9.90,57.32,1,9.72,56.77,2,9.55,56.83,3,9.76,57.12
3,9.77,1:07.09,2,9.73,1:06.51,1,9.66,1:06.49,4,9.98,1:07.11
3,9.89,1:16.99,1,9.79,1:16.30,2,9.92,1:16.41,4,10.12,1:17.23
3,10.06,1:27.05,1,9.82,1:26.12,2,9.82,1:26.23,4,10.51,1:27.75
3,10.46,1:37.509,1,10.21,1:36.329,2,10.33,1:36.560,4,11.05,1:38.797
