Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Ronald CALDECUTT POSITION,Ronald CALDECUTT LAP TIME,Ronald CALDECUTT ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME
2,6.87,6.87,1,6.69,6.69,4,7.00,7.00,3,6.91,6.91,5,7.30,7.30
3,9.05,15.92,2,8.78,15.47,5,18.98,25.98,1,8.47,15.38,4,9.70,17.00
3,8.51,24.43,2,8.25,23.72,5,10.55,36.53,1,8.20,23.58,4,8.96,25.96
3,8.68,33.11,2,8.24,31.96,5,10.02,46.55,1,8.26,31.84,4,8.97,34.93
3,8.92,42.024,2,8.49,40.443,0,,PEN,1,8.51,40.344,4,9.16,44.081
