DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME
2,7.13,7.13,4,7.31,7.31,1,6.90,6.90,3,7.15,7.15,5,7.37,7.37
3,9.10,16.23,4,9.11,16.42,1,8.99,15.89,2,9.04,16.19,5,9.49,16.86
4,9.50,25.73,5,9.42,25.84,1,8.67,24.56,2,8.50,24.69,3,8.85,25.71
3,9.26,34.99,5,9.53,35.37,2,8.68,33.24,1,8.41,33.10,4,9.62,35.33
3,9.58,44.57,4,9.34,44.71,2,9.09,42.33,1,8.83,41.93,5,9.57,44.90
