Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME
4,7.881,7.881,1,6.968,6.968,3,7.180,7.180,2,7.068,7.068
1,7.547,15.428,3,9.033,16.001,4,9.183,16.363,2,8.931,15.999
1,8.817,24.245,3,8.581,24.581,4,8.873,25.236,2,8.450,24.448
2,8.910,33.154,3,8.848,33.429,4,9.051,34.286,1,8.665,33.112
2,9.35,42.501,3,9.16,42.588,4,9.47,43.753,1,9.20,42.307
