Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME
2,7.21,7.21,3,7.40,7.40,1,7.16,7.16,4,7.54,7.54
1,9.71,16.92,2,9.62,17.02,3,9.91,17.07,4,9.62,17.16
1,9.36,26.28,2,9.36,26.38,3,9.47,26.54,4,9.49,26.65
1,9.52,35.80,2,9.51,35.89,3,9.50,36.04,4,9.48,36.13
2,9.72,45.517,1,9.44,45.327,3,9.62,45.658,4,9.67,45.796
