KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,Karolina MILKOWSKA POSITION,Karolina MILKOWSKA LAP TIME,Karolina MILKOWSKA ELAPSED TIME,Katsiaryna CHYSTAYA POSITION,Katsiaryna CHYSTAYA LAP TIME,Katsiaryna CHYSTAYA ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
1,9.67,9.67,2,9.78,9.78,3,9.91,9.91,4,10.05,10.05,5,10.17,10.17
2,14.28,23.95,3,14.29,24.07,1,13.76,23.67,4,14.18,24.23,5,14.19,24.36
2,11.65,35.60,3,11.67,35.74,1,11.80,35.47,4,11.66,35.89,5,11.65,36.01
2,11.60,47.20,3,11.56,47.30,1,11.59,47.06,4,11.55,47.44,5,11.56,47.57
2,11.39,58.59,3,11.38,58.68,1,11.42,58.48,5,11.37,58.81,4,11.19,58.76
3,10.41,1:09.00,4,10.48,1:09.16,2,10.41,1:08.89,5,10.51,1:09.32,1,9.99,1:08.75
3,10.03,1:19.03,4,9.97,1:19.13,2,10.04,1:18.93,5,9.97,1:19.29,1,10.08,1:18.83
3,10.17,1:29.20,4,10.17,1:29.30,2,10.18,1:29.11,5,10.19,1:29.48,1,10.15,1:28.98
2,9.98,1:39.18,4,10.10,1:39.40,3,10.09,1:39.20,5,10.23,1:39.71,1,10.05,1:39.03
2,9.65,1:48.83,4,10.47,1:49.87,3,10.35,1:49.55,5,10.45,1:50.16,1,9.72,1:48.75
2,9.72,1:58.55,4,10.87,2:00.74,3,10.85,2:00.40,5,10.76,2:00.92,1,9.72,1:58.47
2,9.96,2:08.51,4,11.39,2:12.13,3,11.50,2:11.90,5,11.50,2:12.42,1,9.97,2:08.44
1,9.73,2:18.24,3,11.58,2:23.71,4,12.03,2:23.93,5,12.55,2:24.97,2,9.93,2:18.37
1,9.76,2:28.00,3,11.82,2:35.53,4,11.76,2:35.69,5,12.34,2:37.31,2,9.80,2:28.17
