JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,AMIRGALIYEVA Aliya POSITION,AMIRGALIYEVA Aliya LAP TIME,AMIRGALIYEVA Aliya ELAPSED TIME,Mikayla BIGGS POSITION,Mikayla BIGGS LAP TIME,Mikayla BIGGS ELAPSED TIME,Yana KHAN POSITION,Yana KHAN LAP TIME,Yana KHAN ELAPSED TIME
2,7.90,7.90,1,7.67,7.67,3,8.02,8.02,4,8.19,
2,9.99,17.89,1,10.14,17.81,3,10.00,18.02,4,10.06,
1,9.58,27.47,2,9.85,27.66,3,9.98,28.00,4,20.12,
1,9.77,37.24,2,9.87,37.53,3,9.75,37.75,4,18.08,
1,9.92,47.147,3,9.98,47.502,2,9.70,47.431,4,16.68,
