NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Aaron HEO POSITION,Aaron HEO LAP TIME,Aaron HEO ELAPSED TIME,Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,KUCZYNSKI Lukasz POSITION,KUCZYNSKI Lukasz LAP TIME,KUCZYNSKI Lukasz ELAPSED TIME,Skyler KAH POSITION,Skyler KAH LAP TIME,Skyler KAH ELAPSED TIME
4,13.35,13.35,5,13.46,13.46,1,13.12,13.12,6,13.59,13.59,3,13.31,13.31,2,13.22,13.22
4,9.98,23.33,5,9.95,23.41,1,9.90,23.02,6,10.03,23.62,3,9.87,23.18,2,9.88,23.10
4,9.56,32.89,5,9.59,33.00,1,9.54,32.56,6,9.46,33.08,2,9.48,32.66,3,9.66,32.76
4,9.11,42.00,5,9.12,42.12,1,9.12,41.68,6,9.13,42.21,2,9.11,41.77,3,9.11,41.87
3,8.80,50.80,4,8.78,50.90,1,8.89,50.57,6,8.85,51.06,2,8.96,50.73,5,9.12,50.99
2,8.77,59.57,3,8.77,59.67,1,8.87,59.44,5,8.92,59.98,4,9.14,59.87,6,9.14,1:00.13
1,8.73,1:08.30,3,8.80,1:08.47,2,8.93,1:08.37,4,9.18,1:09.16,5,9.49,1:09.36,6,9.60,1:09.73
1,8.85,1:17.15,3,8.87,1:17.34,2,8.96,1:17.33,4,9.23,1:18.39,5,9.87,1:19.23,6,9.77,1:19.50
1,8.98,1:26.13,2,9.03,1:26.37,3,9.20,1:26.53,4,9.69,1:28.081,5,10.15,1:29.385,6,9.94,1:29.448
