Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Serdar ILTIR POSITION,Serdar ILTIR LAP TIME,Serdar ILTIR ELAPSED TIME
2,14.08,14.08,3,14.17,14.17,1,13.96,13.96,5,14.37,14.37,4,14.25,14.25
2,11.68,25.76,4,11.70,25.87,1,11.67,25.63,3,11.43,25.80,5,11.75,26.00
3,11.76,37.52,4,11.75,37.62,2,11.76,37.39,1,11.50,37.30,5,11.72,37.72
3,11.18,48.70,4,11.19,48.81,1,11.07,48.46,2,11.27,48.57,5,11.20,48.92
3,10.61,59.31,4,10.60,59.41,1,10.57,59.03,2,10.61,59.18,5,10.58,59.50
3,10.09,1:09.40,4,10.10,1:09.51,1,10.15,1:09.18,2,10.16,1:09.34,5,10.15,1:09.65
1,9.14,1:18.54,4,9.26,1:18.77,2,9.38,1:18.56,3,9.39,1:18.73,5,9.74,1:19.39
1,8.96,1:27.50,3,9.13,1:27.90,2,9.12,1:27.68,4,9.27,1:28.00,5,10.32,1:29.71
1,9.24,1:36.732,3,9.29,1:37.189,2,9.13,1:36.806,4,9.62,1:37.613,5,10.62,1:40.327
