HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,Luke CULLEN POSITION,Luke CULLEN LAP TIME,Luke CULLEN ELAPSED TIME
4,9.71,9.71,2,9.37,9.37,6,10.00,10.00,3,9.50,9.50,5,9.83,9.83,1,9.22,9.22
4,13.95,23.66,2,13.92,23.29,6,13.87,23.87,3,13.96,23.46,5,13.95,23.78,1,13.92,23.14
4,13.70,37.36,2,13.75,37.04,6,13.74,37.61,3,13.72,37.18,5,13.68,37.46,1,13.75,36.89
4,13.14,50.50,2,13.11,50.15,6,13.10,50.71,3,13.08,50.26,5,13.16,50.62,1,13.14,50.03
4,11.96,1:02.46,2,11.97,1:02.12,5,11.82,1:02.53,3,12.02,1:02.28,6,11.97,1:02.59,1,12.00,1:02.03
5,10.52,1:12.98,3,10.68,1:12.80,1,9.96,1:12.49,4,10.56,1:12.84,6,10.61,1:13.20,2,10.67,1:12.70
5,9.88,1:22.86,3,9.78,1:22.58,1,9.93,1:22.42,4,9.87,1:22.71,6,9.82,1:23.02,2,9.81,1:22.51
5,9.76,1:32.62,3,9.81,1:32.39,1,9.76,1:32.18,4,9.75,1:32.46,6,9.83,1:32.85,2,9.81,1:32.32
5,9.76,1:42.38,2,9.60,1:41.99,1,9.65,1:41.83,4,9.77,1:42.23,6,10.04,1:42.89,3,9.73,1:42.05
4,9.17,1:51.55,2,9.39,1:51.38,1,9.46,1:51.29,3,9.24,1:51.47,6,10.32,1:53.21,5,9.98,1:52.03
3,9.10,2:00.65,1,9.22,2:00.60,2,9.35,2:00.64,4,9.38,2:00.85,6,10.57,2:03.78,5,10.15,2:02.18
1,8.61,2:09.26,2,8.94,2:09.54,3,9.04,2:09.68,4,9.22,2:10.07,6,10.65,2:14.43,5,10.39,2:12.57
1,8.80,2:18.06,2,8.79,2:18.33,3,8.91,2:18.59,4,9.37,2:19.44,6,10.95,2:25.38,5,10.80,2:23.37
1,9.12,2:27.144,2,8.98,2:27.295,3,9.62,2:28.188,4,9.81,2:29.229,6,11.03,2:36.390,5,11.13,2:34.466
