Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
1,6.70,6.70,3,6.99,6.99,2,6.80,6.80,4,7.09,7.09
1,8.89,15.59,3,8.95,15.94,2,8.87,15.67,4,9.46,16.55
3,13.35,28.94,1,8.33,24.27,4,13.77,29.44,2,8.53,25.08
3,12.43,41.37,1,8.59,32.86,4,18.10,47.54,2,8.50,33.58
0,,PEN,1,8.90,41.755,3,15.02,1:02.555,2,8.80,42.376
