Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME
3,16.68,16.68,2,16.46,16.46,4,16.81,16.81,1,16.29,16.29
3,12.06,28.74,4,12.35,28.81,1,11.86,28.67,2,12.42,28.71
4,10.32,39.06,3,10.16,38.97,1,10.14,38.81,2,10.21,38.92
3,9.30,48.36,1,9.24,48.21,2,9.48,48.29,4,9.47,48.39
4,9.47,57.83,1,9.26,57.47,2,9.28,57.57,3,9.29,57.68
3,9.07,1:06.90,1,9.21,1:06.68,2,9.23,1:06.80,4,9.33,1:07.01
3,9.09,1:15.99,1,9.07,1:15.75,2,9.07,1:15.87,4,9.11,1:16.12
3,9.16,1:25.15,1,9.08,1:24.83,2,9.09,1:24.96,4,9.12,1:25.24
4,9.78,1:34.903,1,9.25,1:34.027,2,9.20,1:34.146,3,9.21,1:34.435
