Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME
1,15.11,15.11,2,15.11,15.11,3,15.39,15.39
2,12.15,27.26,1,12.04,27.15,3,11.97,27.36
1,12.22,39.48,2,12.38,39.53,3,12.38,39.74
1,10.97,50.45,2,11.04,50.57,3,10.96,50.70
1,10.15,1:00.60,2,10.13,1:00.70,3,10.11,1:00.81
2,9.78,1:10.38,1,9.65,1:10.35,3,9.72,1:10.53
2,9.43,1:19.81,1,9.35,1:19.70,3,9.38,1:19.91
2,9.10,1:28.91,1,9.06,1:28.76,3,9.05,1:28.96
2,9.17,1:38.077,1,9.14,1:37.896,3,9.70,1:38.653
