Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Thibaut MELINE POSITION,Thibaut MELINE LAP TIME,Thibaut MELINE ELAPSED TIME,Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME
4,13.24,13.24,5,13.33,13.33,3,13.04,13.04,1,12.85,12.85,2,12.88,12.88
4,9.40,22.64,5,9.39,22.72,3,9.48,22.52,1,9.49,22.34,2,9.54,22.42
4,9.25,31.89,5,9.28,32.00,3,9.19,31.71,1,9.21,31.55,2,9.21,31.63
4,9.19,41.08,5,9.16,41.16,3,9.21,40.92,1,9.19,40.74,2,9.19,40.82
5,9.20,50.28,4,9.02,50.18,3,9.03,49.95,1,9.05,49.79,2,9.05,49.87
5,9.19,59.47,4,9.05,59.23,2,8.94,58.89,1,8.93,58.72,3,9.03,58.90
5,9.46,1:08.93,4,9.14,1:08.37,2,8.73,1:07.62,1,8.89,1:07.61,3,9.01,1:07.91
5,9.69,1:18.62,4,9.48,1:17.85,1,8.88,1:16.50,2,8.99,1:16.60,3,8.86,1:16.77
5,10.03,1:28.65,4,9.96,1:27.81,1,8.98,1:25.48,2,8.97,1:25.57,3,8.94,1:25.71
