Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME
1,9.42,9.42,2,9.55,9.55,3,10.01,10.01,4,10.07,10.07,6,10.35,10.35,5,10.24,10.24
1,14.46,23.88,2,14.50,24.05,4,14.29,24.30,3,14.21,24.28,5,14.08,24.43,6,14.30,24.54
1,13.16,37.04,2,13.20,37.25,4,13.32,37.62,3,13.31,37.59,6,13.55,37.98,5,13.20,37.74
2,12.59,49.63,3,12.39,49.64,4,12.32,49.94,5,12.44,50.03,1,11.58,49.56,6,12.35,50.09
2,11.28,1:00.91,3,11.40,1:01.04,4,11.36,1:01.30,5,11.30,1:01.33,1,11.11,1:00.67,6,11.34,1:01.43
1,11.10,1:12.01,3,11.11,1:12.15,6,11.16,1:12.46,4,10.95,1:12.28,2,11.39,1:12.06,5,10.93,1:12.36
3,10.26,1:22.27,4,10.25,1:22.40,6,10.14,1:22.60,1,9.70,1:21.98,2,10.05,1:22.11,5,10.14,1:22.50
2,9.78,1:32.05,4,9.95,1:32.35,5,9.76,1:32.36,1,10.05,1:32.03,3,10.19,1:32.30,6,9.86,1:32.36
1,9.25,1:41.30,6,9.77,1:42.12,4,9.52,1:41.88,2,9.77,1:41.80,3,9.51,1:41.81,5,9.71,1:42.07
1,9.75,1:51.05,5,9.30,1:51.42,3,9.38,1:51.26,2,9.44,1:51.24,4,9.48,1:51.29,6,9.76,1:51.83
3,9.87,2:00.92,4,9.65,2:01.07,2,9.65,2:00.91,1,9.54,2:00.78,5,9.81,2:01.10,6,9.45,2:01.28
2,9.67,2:10.59,5,10.02,2:11.09,3,9.71,2:10.62,1,9.79,2:10.57,4,9.87,2:10.97,6,9.95,2:11.23
1,9.36,2:19.95,5,9.50,2:20.59,2,9.42,2:20.04,3,9.49,2:20.06,4,9.47,2:20.44,6,9.69,2:20.92
3,10.38,2:30.321,5,9.87,2:30.455,1,9.45,2:29.489,2,9.57,2:29.628,4,9.92,2:30.353,6,9.71,2:30.625
