SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Koen SLOOTWEG POSITION,Koen SLOOTWEG LAP TIME,Koen SLOOTWEG ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME
2,11.03,11.03,4,11.29,11.29,5,11.45,11.45,3,11.13,11.13,6,11.63,,1,10.89,10.89
2,15.58,26.61,5,15.51,26.80,6,15.49,26.94,3,15.53,26.66,4,15.16,,1,15.49,26.38
5,13.42,40.03,1,12.64,39.44,6,13.24,40.18,2,12.91,39.57,3,12.95,,4,13.48,39.86
4,11.86,51.89,1,12.11,51.55,6,11.94,52.12,2,12.10,51.67,3,12.06,,5,12.04,51.90
5,11.41,1:03.30,4,11.47,1:03.02,6,11.29,1:03.41,3,11.34,1:03.01,1,11.06,,2,11.01,1:02.91
5,10.01,1:13.31,2,9.92,1:12.94,6,9.99,1:13.40,4,10.09,1:13.10,1,9.98,,3,10.09,1:13.00
5,9.26,1:22.57,2,9.33,1:22.27,6,9.26,1:22.66,4,9.30,1:22.40,1,9.31,,3,9.35,1:22.35
5,9.36,1:31.93,2,9.35,1:31.62,6,9.39,1:32.05,4,9.41,1:31.81,1,9.34,,3,9.37,1:31.72
5,9.00,1:40.93,2,9.01,1:40.63,6,9.01,1:41.06,4,9.00,1:40.81,1,9.02,,3,9.00,1:40.72
5,8.86,1:49.79,2,8.88,1:49.51,6,8.82,1:49.88,4,8.88,1:49.69,1,8.92,,3,8.89,1:49.61
5,8.95,1:58.74,2,8.92,1:58.43,6,8.97,1:58.85,3,8.84,1:58.53,1,8.93,,4,9.01,1:58.62
5,8.88,2:07.62,2,8.94,2:07.37,6,8.93,2:07.78,3,8.94,2:07.47,1,8.85,,4,8.94,2:07.56
4,8.90,2:16.52,2,8.95,2:16.32,6,9.00,2:16.78,3,8.94,2:16.41,1,9.02,,5,9.07,2:16.63
3,9.21,2:25.721,1,9.09,2:25.41,5,9.15,2:25.932,2,9.27,2:25.683,2,9.23,,4,9.18,2:25.808
