HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME
3,10.89,10.89,1,10.74,10.74,4,11.02,11.02,5,11.03,11.03,7,11.44,,2,10.86,,6,11.19,11.19
2,15.68,26.57,1,15.73,26.47,3,15.68,26.70,6,16.00,27.03,7,15.73,,5,15.98,,4,15.63,26.82
4,14.07,40.64,5,14.23,40.70,6,14.16,40.86,3,13.51,40.54,1,13.12,,7,14.20,,2,13.57,40.39
3,12.41,53.05,5,12.76,53.46,7,12.72,53.58,4,12.76,53.30,1,12.51,,5,12.42,,2,12.52,52.91
3,11.47,1:04.52,6,11.46,1:04.92,7,11.56,1:05.14,5,11.59,1:04.89,2,11.59,,4,11.21,,1,11.35,1:04.26
4,10.88,1:15.40,1,10.28,1:15.20,7,10.65,1:15.79,6,10.76,1:15.65,2,10.83,,5,10.89,,3,10.97,1:15.23
4,9.91,1:25.31,1,9.88,1:25.08,7,9.85,1:25.64,6,9.81,1:25.46,2,9.92,,5,9.86,,3,9.99,1:25.22
3,9.83,1:35.14,1,9.76,1:34.84,7,9.81,1:35.45,6,9.90,1:35.36,2,9.81,,5,9.85,,4,9.93,1:35.15
2,9.16,1:44.30,1,9.40,1:44.24,7,9.37,1:44.82,5,9.27,1:44.63,3,9.42,,6,9.42,,4,9.44,1:44.59
3,9.26,1:53.56,1,9.12,1:53.36,6,9.17,1:53.99,4,9.03,1:53.66,2,9.09,,5,9.28,,7,9.65,1:54.24
3,9.24,2:02.80,1,9.23,2:02.59,5,9.32,2:03.31,4,9.25,2:02.91,2,9.23,,6,9.50,,7,9.63,2:03.87
3,9.32,2:12.12,1,9.33,2:11.92,5,9.26,2:12.57,4,9.29,2:12.20,2,9.35,,6,9.61,,7,10.00,2:13.87
2,9.32,2:21.44,1,9.44,2:21.36,5,9.42,2:21.99,4,9.42,2:21.62,2,9.40,,6,10.05,,7,10.30,2:24.17
2,9.58,2:31.02,1,9.57,2:30.93,5,9.83,2:31.82,3,9.59,2:31.21,4,9.80,,6,11.02,,7,10.69,2:34.86
