Oleksandr ZHELTONOG POSITION,Oleksandr ZHELTONOG LAP TIME,Oleksandr ZHELTONOG ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
3,9.97,9.97,5,10.22,10.22,2,9.85,9.85,1,9.82,9.82,4,10.19,10.19
3,13.94,23.91,5,13.99,24.21,2,13.92,23.77,1,13.83,23.65,4,13.89,24.08
1,11.85,35.76,5,12.41,36.62,3,12.51,36.28,2,12.49,36.14,4,12.34,36.42
1,10.15,45.91,5,10.02,46.64,3,9.94,46.22,2,10.00,46.14,4,10.12,46.54
1,10.38,56.29,5,10.07,56.71,3,10.25,56.47,2,10.24,56.38,4,10.10,56.64
1,10.34,1:06.63,5,10.31,1:07.02,3,10.31,1:06.78,2,10.34,1:06.72,4,10.30,1:06.94
3,10.34,1:16.97,2,9.88,1:16.90,5,10.35,1:17.13,4,10.32,1:17.04,1,9.90,1:16.84
3,9.76,1:26.73,2,9.73,1:26.63,4,9.61,1:26.74,5,9.80,1:26.84,1,9.71,1:26.55
4,10.13,1:36.86,2,9.59,1:36.22,3,9.63,1:36.37,5,10.07,1:36.91,1,9.56,1:36.11
5,9.98,1:46.84,2,9.22,1:45.44,3,9.20,1:45.57,4,9.38,1:46.29,1,9.25,1:45.36
5,10.09,1:56.93,2,9.26,1:54.70,3,9.22,1:54.79,4,9.31,1:55.60,1,9.26,1:54.62
5,10.29,2:07.22,2,9.24,2:03.94,3,9.29,2:04.08,4,9.68,2:05.28,1,9.21,2:03.83
5,10.35,2:17.57,2,9.40,2:13.34,3,9.39,2:13.47,4,10.17,2:15.45,1,9.42,2:13.25
4,10.58,2:28.141,2,9.71,2:23.047,0,,PEN,3,10.66,2:26.105,1,9.69,2:22.940
