van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME
1,7.39,7.39,2,7.50,7.50,3,7.72,7.72
1,9.56,16.95,2,9.52,17.02,3,9.73,17.45
1,9.10,26.05,2,9.04,26.06,3,9.09,26.54
2,9.31,35.36,1,9.17,35.23,3,9.23,35.77
2,9.40,44.76,1,9.44,44.67,3,9.44,45.21
