MYKHALCHUK Diana POSITION,MYKHALCHUK Diana LAP TIME,MYKHALCHUK Diana ELAPSED TIME,Vera TRYBUL POSITION,Vera TRYBUL LAP TIME,Vera TRYBUL ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
4,14.07,14.07,5,14.10,14.10,2,13.97,13.97,1,13.89,13.89,3,13.99,13.99
5,10.59,24.66,4,10.51,24.61,3,10.62,24.59,2,10.62,24.51,1,10.44,24.43
4,10.97,35.63,5,11.10,35.71,3,10.93,35.52,2,10.91,35.42,1,10.88,35.31
5,10.89,46.52,3,10.48,46.19,4,10.76,46.28,2,10.75,46.17,1,10.76,46.07
5,10.05,56.57,3,10.13,56.32,4,10.12,56.40,2,10.07,56.24,1,10.08,56.15
5,10.08,1:06.65,3,9.97,1:06.29,4,9.94,1:06.34,2,9.90,1:06.14,1,9.93,1:06.08
5,10.45,1:17.10,4,9.90,1:16.19,2,9.34,1:15.68,1,9.30,1:15.44,3,9.75,1:15.83
5,10.83,1:27.93,4,10.00,1:26.19,2,9.38,1:25.06,1,9.20,1:24.64,3,9.93,1:25.76
5,11.30,1:39.23,4,10.31,1:36.50,2,9.76,1:34.82,1,9.40,1:34.04,3,10.62,1:36.38
