Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,Yulia SHISHKINA POSITION,Yulia SHISHKINA LAP TIME,Yulia SHISHKINA ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,Samantha MORRISON POSITION,Samantha MORRISON LAP TIME,Samantha MORRISON ELAPSED TIME
5,13.41,13.41,4,13.23,13.23,3,13.13,13.13,1,12.96,12.96,2,13.11,13.11
4,20.26,33.67,3,20.24,33.47,2,20.21,33.34,1,20.12,33.08,5,20.75,33.86
4,16.88,50.55,3,16.91,50.38,2,16.92,50.26,1,16.87,49.95,5,16.86,50.72
4,15.55,1:06.10,2,15.55,1:05.93,3,15.76,1:06.02,1,15.82,1:05.77,5,15.56,1:06.28
3,15.06,1:21.16,2,15.18,1:21.11,4,15.19,1:21.21,1,15.21,1:20.98,5,15.13,1:21.41
3,13.08,1:34.24,1,13.06,1:34.17,1,12.96,1:34.17,4,13.27,1:34.25,5,13.03,1:34.44
5,10.99,1:45.23,2,10.88,1:45.05,1,10.78,1:44.95,3,10.89,1:45.14,4,10.78,1:45.22
4,10.08,1:55.31,1,9.99,1:55.04,2,10.17,1:55.12,3,10.05,1:55.19,5,10.20,1:55.42
4,10.39,2:05.70,1,10.34,2:05.38,2,10.35,2:05.47,3,10.34,2:05.53,5,10.37,2:05.79
3,10.02,2:15.72,1,10.11,2:15.49,2,10.12,2:15.59,4,10.23,2:15.76,5,10.00,2:15.79
3,9.75,2:25.47,1,9.58,2:25.07,2,9.57,2:25.16,5,9.96,2:25.72,4,9.81,2:25.60
3,9.72,2:35.19,1,9.78,2:34.85,2,9.77,2:34.93,5,9.83,2:35.55,4,9.70,2:35.30
3,9.83,2:45.02,1,9.96,2:44.81,2,9.97,2:44.90,5,9.95,2:45.50,4,9.92,2:45.22
3,10.11,2:55.119,1,10.21,2:55.02,2,10.15,2:55.05,5,10.31,2:55.795,4,10.08,2:55.286
