WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,HWANG Hyun Sun POSITION,HWANG Hyun Sun LAP TIME,HWANG Hyun Sun ELAPSED TIME,Jessica AUSMA POSITION,Jessica AUSMA LAP TIME,Jessica AUSMA ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME
2,7.65,7.65,3,7.85,7.85,4,7.95,7.95,1,7.32,7.32
2,9.65,17.30,3,9.68,17.53,4,9.80,17.75,1,9.45,16.77
2,9.49,26.79,3,9.34,26.87,4,9.49,27.24,1,9.46,26.23
3,9.49,36.28,2,9.39,36.26,4,9.53,36.77,1,9.46,35.69
3,9.71,45.983,2,9.55,45.803,4,35.20,1:11.961,1,9.82,45.504
