Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME,KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME
3,8.74,8.74,2,8.62,8.62,5,8.98,8.98,4,8.83,8.83,6,9.30,9.30,1,8.54,8.54
3,13.10,21.84,2,13.10,21.72,5,13.06,22.04,4,13.13,21.96,6,12.81,22.11,1,13.08,21.62
3,13.35,35.19,2,13.35,35.07,5,13.32,35.36,4,13.32,35.28,6,13.32,35.43,1,13.33,34.95
3,12.93,48.12,4,13.09,48.16,2,12.75,48.11,5,13.00,48.28,6,13.02,48.45,1,13.08,48.03
4,11.16,59.28,5,11.26,59.42,2,11.04,59.15,1,10.78,59.06,6,11.10,59.55,3,11.17,59.20
4,10.48,1:09.76,5,10.45,1:09.87,2,10.40,1:09.55,1,10.39,1:09.45,6,10.48,1:10.03,3,10.45,1:09.65
5,10.37,1:20.13,6,10.38,1:20.25,4,10.47,1:20.02,1,10.38,1:19.83,3,9.90,1:19.93,2,10.20,1:19.85
5,9.62,1:29.75,6,9.85,1:30.10,4,9.57,1:29.59,2,9.59,1:29.42,1,9.31,1:29.24,3,9.68,1:29.53
5,9.56,1:39.31,6,10.19,1:40.29,4,9.63,1:39.22,3,9.72,1:39.14,1,9.77,1:39.01,2,9.59,1:39.12
3,10.06,1:49.37,4,10.73,1:51.02,6,26.26,2:05.48,5,19.73,1:58.87,1,9.67,1:48.68,2,9.66,1:48.78
3,10.26,1:59.63,4,11.08,2:02.10,6,21.90,2:27.38,5,19.33,2:18.20,1,9.78,1:58.46,2,9.80,1:58.58
3,10.69,2:10.32,4,11.80,2:13.90,6,12.90,2:40.28,5,15.23,2:33.43,1,9.84,2:08.30,2,9.85,2:08.43
3,11.47,2:21.79,4,12.36,2:26.26,6,12.46,2:52.74,5,13.50,2:46.93,1,9.81,2:18.11,2,9.78,2:18.21
3,11.83,2:33.617,4,13.17,2:39.421,0,,PEN,5,13.18,3:00.101,1,9.88,2:27.990,2,10.01,2:28.220
