YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
2,15.60,15.60,1,15.45,15.45,3,15.78,15.78
2,12.12,27.72,1,12.13,27.58,3,12.06,27.84
2,11.50,39.22,1,11.46,39.04,3,11.49,39.33
2,10.34,49.56,1,10.41,49.45,3,10.33,49.66
2,9.48,59.04,1,9.47,58.92,3,9.53,59.19
2,9.12,1:08.16,1,9.13,1:08.05,3,9.05,1:08.24
1,8.95,1:17.11,2,9.06,1:17.11,3,9.00,1:17.24
1,9.00,1:26.11,2,9.20,1:26.31,3,9.20,1:26.44
1,9.23,1:35.339,2,9.38,1:35.686,3,9.42,1:35.860
