CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Ainara EQUISOAIN POSITION,Ainara EQUISOAIN LAP TIME,Ainara EQUISOAIN ELAPSED TIME
2,9.10,9.10,5,9.62,9.62,4,9.46,9.46,1,9.08,9.08,3,9.26,9.26,6,9.73,9.73
2,11.10,20.20,5,11.05,20.67,4,11.06,20.52,1,10.61,19.69,3,11.14,20.40,6,12.14,21.87
2,10.02,30.22,5,10.00,30.67,4,9.95,30.47,1,10.39,30.08,3,9.96,30.36,6,11.69,33.56
2,10.81,41.03,5,10.78,41.45,4,10.78,41.25,1,10.83,40.91,3,10.77,41.13,6,11.95,45.51
1,10.82,51.85,5,10.80,52.25,4,10.88,52.13,2,11.02,51.93,3,10.89,52.02,6,11.90,57.41
1,11.43,1:03.28,5,11.39,1:03.64,4,11.39,1:03.52,2,11.43,1:03.36,3,11.42,1:03.44,6,12.18,1:09.59
1,11.64,1:14.92,5,11.68,1:15.32,3,11.55,1:15.07,4,11.71,1:15.07,2,11.56,1:15.00,6,12.49,1:22.08
2,10.66,1:25.58,4,10.75,1:26.07,1,10.36,1:25.43,5,11.18,1:26.25,3,10.69,1:25.69,6,12.93,1:35.01
3,10.81,1:36.39,4,10.61,1:36.68,1,10.82,1:36.25,5,11.10,1:37.35,2,10.64,1:36.33,6,13.31,1:48.32
3,10.49,1:46.88,4,10.43,1:47.11,1,10.40,1:46.65,5,11.33,1:48.68,2,10.42,1:46.75,6,13.27,2:01.59
3,10.21,1:57.09,4,10.28,1:57.39,1,10.27,1:56.92,5,11.79,2:00.47,2,10.29,1:57.04,6,13.51,2:15.10
3,9.91,2:07.00,4,9.66,2:07.05,1,9.85,2:06.77,5,12.24,2:12.71,2,9.84,2:06.88,6,13.53,2:28.63
3,9.73,2:16.73,2,9.60,2:16.65,1,9.79,2:16.56,5,12.47,2:25.18,4,9.89,2:16.77,6,13.41,2:42.04
3,10.08,2:26.804,1,9.86,2:26.501,2,10.14,2:26.691,5,12.66,2:37.835,4,10.65,2:27.418,6,13.54,2:55.577
