Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
1,6.83,6.83,2,6.95,6.95,3,7.09,7.09,4,7.19,
3,14.66,21.49,4,16.46,23.41,1,9.05,16.14,2,8.99,
3,19.23,40.72,4,18.09,41.50,1,8.70,24.84,2,8.97,
3,14.33,55.05,4,13.68,55.18,1,8.61,33.45,2,8.46,
3,12.49,1:07.54,4,12.44,1:07.62,1,8.83,42.28,2,8.95,
