FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Monika GRZADKOWSKA POSITION,Monika GRZADKOWSKA LAP TIME,Monika GRZADKOWSKA ELAPSED TIME
1,13.94,13.94,2,14.04,14.04,3,14.14,14.14
2,10.38,24.32,1,10.15,24.19,3,10.27,24.41
2,9.99,34.31,1,9.99,34.18,3,9.97,34.38
2,9.92,44.23,1,9.94,44.12,3,9.94,44.32
2,9.90,54.13,1,9.90,54.02,3,9.91,54.23
1,9.71,1:03.84,2,9.84,1:03.86,3,9.84,1:04.07
1,9.64,1:13.48,2,9.74,1:13.60,3,9.93,1:14.00
1,9.79,1:23.27,2,9.78,1:23.38,3,10.19,1:24.19
0,,PHOTO,0,,PHOTO,3,10.51,1:34.70
