Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME
1,7.11,7.11,3,7.23,7.23,2,7.15,7.15,4,7.73,7.73
2,9.54,16.66,3,9.74,16.98,1,9.39,16.55,4,9.57,17.31
2,9.18,25.84,3,9.13,26.12,1,9.27,25.82,4,9.03,26.35
2,9.28,35.13,3,9.08,35.20,1,9.16,34.99,4,9.34,35.70
1,9.43,44.557,3,9.47,44.667,2,9.65,44.636,4,9.52,45.219
