BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
1,12.33,12.33,2,12.39,12.39,3,12.52,12.52,4,12.60,12.60
1,9.42,21.75,3,9.68,22.08,2,9.36,21.88,4,9.74,22.34
1,9.41,31.16,3,9.24,31.32,4,9.46,31.35,2,8.93,31.27
1,9.34,40.50,4,9.33,40.66,3,9.30,40.65,2,9.33,40.61
1,9.20,49.71,2,9.07,49.74,4,9.25,49.91,3,9.15,49.76
3,9.19,58.90,2,9.15,58.89,4,9.13,59.05,1,9.11,58.88
4,48.17,1:47.07,2,9.48,1:08.38,3,9.45,1:08.50,1,9.41,1:08.29
4,19.76,2:06.84,3,9.48,1:17.86,1,9.27,1:17.78,2,9.54,1:17.84
4,16.50,2:23.336,3,10.87,1:28.724,1,9.91,1:27.682,2,10.06,1:27.892
