HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME
1,15.10,15.10,2,15.19,15.19,3,15.41,15.41,4,15.56,15.56
1,12.58,27.68,2,12.57,27.76,3,12.39,27.80,4,12.52,28.08
1,10.68,38.37,2,10.71,38.47,4,11.06,38.86,3,10.41,38.50
1,9.31,47.68,2,9.24,47.71,4,9.07,47.93,3,9.22,47.72
1,9.55,57.24,2,9.56,57.28,3,9.42,57.36,4,9.74,57.46
1,9.51,1:06.76,3,9.74,1:07.03,2,9.41,1:06.77,4,9.63,1:07.09
2,9.10,1:15.86,3,9.00,1:16.03,1,9.00,1:15.78,4,9.14,1:16.24
3,8.98,1:24.85,2,8.78,1:24.81,1,8.77,1:24.56,4,8.68,1:24.92
1,9.25,1:34.099,3,9.62,1:34.424,0,,DQ,2,9.35,1:34.268
