Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME
2,12.72,12.72,3,12.87,12.87,1,12.57,12.57,4,12.99,12.99
2,9.87,22.59,3,9.81,22.68,1,9.96,22.53,4,9.79,22.78
2,10.16,32.75,3,10.17,32.85,1,10.10,32.63,4,10.16,32.94
3,10.12,42.87,2,9.96,42.81,1,10.16,42.79,4,10.06,43.00
2,9.42,52.29,1,9.32,52.13,3,9.66,52.45,4,9.59,52.59
2,9.23,1:01.52,1,9.24,1:01.37,3,9.33,1:01.78,4,9.39,1:01.98
2,9.16,1:10.68,1,9.22,1:10.59,3,9.31,1:11.09,4,9.61,1:11.59
2,9.32,1:20.00,1,9.31,1:19.90,3,9.52,1:20.61,4,10.05,1:21.64
2,9.57,1:29.563,1,9.61,1:29.506,3,9.99,1:30.597,4,10.80,1:32.438
