Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
4,7.62,7.62,1,7.28,7.28,3,7.52,7.52,2,7.33,7.33
3,9.46,17.08,2,9.58,16.87,4,9.62,17.14,1,9.44,16.77
4,9.09,26.17,1,9.07,25.94,3,8.96,26.11,2,9.26,26.04
4,9.24,35.41,1,9.24,35.18,3,9.22,35.34,2,9.16,35.21
3,9.46,44.870,1,9.55,44.724,4,9.61,44.947,2,9.59,44.796
