START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,7.23,7.23,2,7.39,7.39,3,7.83,7.83,4,8.07,8.07,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",500m(1),w,Preliminaries,4
1,9.65,16.89,2,10.20,17.59,3,10.08,17.91,4,10.18,18.25,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",500m(1),w,Preliminaries,4
1,9.27,26.16,2,9.62,27.21,3,9.36,27.28,4,9.26,27.51,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",500m(1),w,Preliminaries,4
1,9.42,35.58,3,9.76,36.97,2,9.64,36.93,4,9.58,37.10,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",500m(1),w,Preliminaries,4
1,9.49,45.062,2,10.05,47.020,4,10.26,47.184,3,10.01,47.103,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",500m(1),w,Preliminaries,4
