Annie PERREAULT POSITION,Annie PERREAULT LAP TIME,Annie PERREAULT ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,LIU Xiao Ying POSITION,LIU Xiao Ying LAP TIME,LIU Xiao Ying ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME
4,12.856,12.856,5,12.933,12.933,2,12.529,12.529,3,12.536,12.536,1,11.918,11.918
5,16.286,29.142,4,15.859,28.792,3,16.255,28.784,2,16.201,28.737,1,16.154,28.071
5,14.698,43.840,2,14.694,43.486,3,14.993,43.777,4,15.046,43.782,1,14.583,42.654
4,13.801,57.640,2,13.995,57.480,5,13.881,57.657,3,13.783,57.565,1,14.082,56.736
3,13.360,1:11.000,2,13.389,1:10.869,5,13.582,1:11.238,4,13.494,1:11.058,1,13.507,1:10.243
3,12.597,1:23.596,2,12.718,1:23.587,5,13.091,1:24.329,4,12.920,1:23.978,1,13.011,1:23.253
2,12.374,1:35.969,3,12.384,1:35.970,4,11.730,1:36.058,5,12.181,1:36.158,1,12.322,1:35.574
5,10.217,1:46.186,4,10.205,1:46.175,2,10.027,1:46.085,3,9.987,1:46.145,1,10.028,1:45.602
4,9.533,1:55.718,5,9.545,1:55.719,3,9.628,1:55.713,2,9.510,1:55.655,1,9.663,1:55.265
4,9.687,2:05.405,5,9.933,2:05.652,2,9.592,2:05.305,3,9.712,2:05.366,1,10.033,2:05.298
3,9.827,2:15.231,5,9.889,2:15.540,4,10.101,2:15.405,2,9.828,2:15.194,1,9.738,2:15.035
3,9.933,2:25.164,5,9.921,2:25.461,4,9.826,2:25.230,2,9.855,2:25.048,1,9.882,2:24.917
3,10.004,2:35.167,4,9.818,2:35.279,5,10.166,2:35.396,2,9.962,2:35.009,1,9.708,2:34.624
3,10.64,2:45.807,4,10.66,2:45.938,5,10.74,2:46.132,2,10.22,2:45.222,1,10.41,2:45.030
