HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
3,6.922,6.922,2,6.849,6.849,1,6.774,6.774,4,6.942,6.942
4,8.964,15.886,2,8.887,15.735,1,8.895,15.668,3,8.917,15.858
3,8.685,24.570,2,8.762,24.496,1,8.617,24.285,4,8.821,24.679
3,8.996,33.566,2,9.025,33.521,4,9.311,33.596,1,8.780,33.458
0,,DQ,2,9.82,43.336,1,8.90,42.494,0,,DQ
