Timur ZAKHAROV POSITION,Timur ZAKHAROV LAP TIME,Timur ZAKHAROV ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
2,11.54,11.54,6,12.97,,3,11.73,11.73,4,11.96,11.96,1,11.35,11.35,5,12.24,12.24
3,12.37,23.91,1,10.44,,4,12.20,23.93,5,12.36,24.32,2,12.17,23.52,6,12.22,24.46
4,9.20,33.11,1,8.46,,3,8.98,32.91,5,9.26,33.58,2,9.08,32.60,6,9.19,33.65
4,8.62,41.73,1,8.64,,2,8.58,41.49,5,9.04,42.62,2,8.89,41.49,6,9.08,42.73
4,8.86,50.59,1,9.03,,2,8.68,50.17,5,9.17,51.79,3,8.81,50.30,6,9.16,51.89
4,8.92,59.51,1,9.40,,2,8.98,59.15,5,9.25,1:01.04,3,8.97,59.27,6,9.26,1:01.15
4,9.83,1:09.34,2,10.33,,1,9.90,1:09.05,5,9.49,1:10.53,2,10.00,1:09.27,6,9.48,1:10.63
3,10.15,1:19.49,4,10.50,,1,10.15,1:19.20,5,9.74,1:20.27,2,10.03,1:19.30,6,9.77,1:20.40
3,9.87,1:29.36,6,10.85,,1,9.82,1:29.02,5,9.73,1:30.00,2,9.81,1:29.11,4,9.42,1:29.82
3,9.59,1:38.95,6,11.85,,1,9.69,1:38.71,5,9.12,1:39.12,2,9.68,1:38.79,4,9.15,1:38.97
5,9.64,1:48.59,6,12.87,,2,9.59,1:48.30,4,9.35,1:48.47,3,9.57,1:48.36,1,9.16,1:48.13
4,9.38,1:57.97,6,14.32,,5,9.82,1:58.12,3,9.32,1:57.79,2,9.31,1:57.67,1,9.18,1:57.31
4,9.24,2:07.21,6,13.55,,5,10.15,2:08.27,2,9.20,2:06.99,3,9.33,2:07.00,1,9.35,2:06.66
4,9.64,2:16.797,6,15.49,,5,10.54,2:18.784,2,9.21,2:16.179,3,9.51,2:16.484,1,9.51,2:16.17
