Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
1,8.50,8.50,2,8.58,8.58,3,8.72,8.72,4,8.81,8.81,6,9.24,9.24,5,9.22,9.22
1,12.31,20.81,2,12.23,20.82,3,12.22,20.95,4,12.27,21.08,5,12.03,21.28,6,12.16,21.39
2,12.25,33.06,1,12.22,33.04,3,12.25,33.20,4,12.24,33.33,5,12.22,33.50,6,12.21,33.60
2,12.41,45.48,1,12.39,45.43,3,12.47,45.68,4,12.37,45.70,5,12.50,46.00,6,12.47,46.08
3,12.44,57.93,2,12.47,57.91,4,12.48,58.16,1,12.18,57.89,5,12.38,58.38,6,12.33,58.41
3,11.22,1:09.15,1,11.18,1:09.10,4,11.22,1:09.39,2,11.23,1:09.12,5,11.23,1:09.62,6,11.20,1:09.62
3,11.26,1:20.41,1,11.28,1:20.39,4,11.25,1:20.65,2,11.28,1:20.40,6,11.25,1:20.87,5,11.12,1:20.75
3,10.38,1:30.79,1,10.38,1:30.77,4,10.25,1:30.90,2,10.37,1:30.78,5,10.16,1:31.04,6,10.47,1:31.22
1,9.91,1:40.70,4,10.04,1:40.81,2,9.86,1:40.77,3,10.00,1:40.79,5,9.93,1:40.97,6,9.80,1:41.02
1,9.46,1:50.16,2,9.35,1:50.17,6,24.23,2:05.00,3,9.60,1:50.39,4,9.53,1:50.51,5,9.72,1:50.75
3,9.49,1:59.66,1,9.33,1:59.50,6,16.88,2:21.89,5,9.61,2:00.00,2,9.12,1:59.63,4,9.04,1:59.79
4,9.42,2:09.09,1,9.09,2:08.59,6,9.90,2:31.79,5,10.07,2:10.08,2,9.33,2:08.97,3,9.24,2:09.04
3,9.47,2:18.56,1,9.28,2:17.88,6,13.62,2:45.42,5,10.71,2:20.79,2,9.24,2:18.22,4,9.57,2:18.62
3,9.87,2:28.426,1,10.04,2:27.911,6,14.95,3:00.362,5,11.37,2:32.154,2,9.80,2:28.018,4,10.22,2:28.839
