PARK Yoon Jung POSITION,PARK Yoon Jung LAP TIME,PARK Yoon Jung ELAPSED TIME,Vera RASSKAZOVA POSITION,Vera RASSKAZOVA LAP TIME,Vera RASSKAZOVA ELAPSED TIME,BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,Milada DOSLA POSITION,Milada DOSLA LAP TIME,Milada DOSLA ELAPSED TIME,Nagiho YOSHIDA POSITION,Nagiho YOSHIDA LAP TIME,Nagiho YOSHIDA ELAPSED TIME
2,13.75,13.75,3,13.85,13.85,1,13.65,13.65,5,13.95,13.95,4,13.94,13.94
3,10.16,23.91,4,10.18,24.03,2,10.16,23.81,5,10.23,24.18,1,9.72,23.66
3,9.85,33.76,4,9.85,33.88,2,9.83,33.64,5,9.85,34.03,1,9.95,33.61
3,9.72,43.48,4,9.73,43.61,1,9.54,43.18,5,9.71,43.74,2,9.78,43.39
3,9.72,53.20,4,9.71,53.32,1,9.83,53.01,5,9.72,53.46,2,9.67,53.06
3,9.86,1:03.06,4,9.84,1:03.16,1,9.75,1:02.76,5,9.84,1:03.30,2,9.90,1:02.96
3,9.78,1:12.84,4,9.79,1:12.95,1,9.87,1:12.63,5,9.80,1:13.10,2,9.85,1:12.81
1,9.50,1:22.34,3,9.70,1:22.65,2,9.91,1:22.54,5,9.91,1:23.01,4,10.16,1:22.97
1,9.52,1:31.86,2,9.50,1:32.15,3,9.87,1:32.41,4,9.78,1:32.798,5,10.81,1:33.789
