DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
3,9.14,9.14,4,9.21,9.21,1,9.01,9.01,7,9.45,9.45,5,9.33,9.33,2,9.04,,6,9.39,9.39
5,11.91,21.05,4,11.72,20.93,1,11.66,20.67,7,11.84,21.29,1,11.34,20.67,3,11.81,,6,11.78,21.17
6,10.96,32.01,5,11.07,32.00,4,11.25,31.92,1,10.19,31.48,3,11.14,31.81,2,10.95,,7,10.88,32.05
6,10.89,42.90,7,10.91,42.91,3,10.75,42.67,1,11.03,42.51,4,10.89,42.70,2,10.72,,5,10.74,42.79
7,10.63,53.53,6,10.49,53.40,1,10.13,52.80,3,10.56,53.07,4,10.49,53.19,2,10.44,,5,10.48,53.27
7,9.97,1:03.50,6,10.01,1:03.41,1,10.16,1:02.96,4,10.11,1:03.18,3,9.98,1:03.17,2,10.10,,5,10.00,1:03.27
7,9.82,1:13.32,6,9.86,1:13.27,1,9.79,1:12.75,3,9.85,1:13.03,5,10.08,1:13.25,2,9.82,,4,9.85,1:13.12
4,9.19,1:22.51,6,9.34,1:22.61,2,9.64,1:22.39,2,9.36,1:22.39,7,9.66,1:22.91,1,9.44,,4,9.39,1:22.51
2,9.11,1:31.62,6,9.37,1:31.98,4,9.37,1:31.76,1,9.19,1:31.58,7,9.19,1:32.10,3,9.35,,5,9.36,1:31.87
1,9.24,1:40.86,6,9.23,1:41.21,4,9.27,1:41.03,2,9.35,1:40.93,7,9.21,1:41.31,3,9.28,,5,9.28,1:41.15
2,9.45,1:50.31,7,9.53,1:50.74,5,9.54,1:50.57,3,9.49,1:50.42,6,9.37,1:50.68,1,9.28,,4,9.35,1:50.50
2,9.54,1:59.85,7,9.58,2:00.32,4,9.49,2:00.06,3,9.55,1:59.97,6,9.61,2:00.29,1,9.55,,4,9.56,2:00.06
2,9.24,2:09.09,6,9.12,2:09.44,4,9.23,2:09.29,3,9.28,2:09.25,7,9.32,2:09.61,1,9.22,,5,9.25,2:09.31
2,9.26,2:18.35,7,21.11,2:30.55,3,9.11,2:18.40,0,9.30,2:18.55,6,9.57,2:19.18,1,9.25,,0,9.24,2:18.55
