TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,KIM Pyol Song POSITION,KIM Pyol Song LAP TIME,KIM Pyol Song ELAPSED TIME
2,7.15,7.15,3,7.32,7.32,1,7.02,7.02
1,9.12,16.27,3,9.10,16.42,2,9.29,16.31
1,8.82,25.09,2,8.96,25.38,3,9.28,25.59
1,8.80,33.89,2,8.97,34.35,3,9.13,34.72
1,8.93,42.82,2,8.96,43.31,3,9.50,44.206
