Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
1,12.48,12.48,3,12.58,12.58,5,12.85,12.85,4,12.72,,1,12.48,12.48
2,9.38,21.86,3,9.41,21.99,5,9.33,22.18,4,9.38,,1,9.30,21.78
1,9.02,30.88,3,8.98,30.97,5,9.04,31.22,4,8.98,,2,9.18,30.96
1,9.13,40.01,4,9.35,40.32,5,9.20,40.42,3,9.12,,2,9.14,40.10
1,9.16,49.17,4,9.18,49.50,5,9.19,49.61,2,9.08,,3,9.19,49.29
1,8.97,58.14,3,8.89,58.39,4,8.89,58.50,2,9.03,,5,9.56,58.85
1,8.99,1:07.13,3,8.99,1:07.38,4,9.00,1:07.50,2,8.97,,5,9.03,1:07.88
1,8.87,1:16.00,2,8.82,1:16.20,4,8.93,1:16.43,3,8.98,,5,9.28,1:17.16
1,8.92,1:24.92,2,8.85,1:25.05,3,9.15,1:25.566,3,9.19,,5,9.79,1:26.95
