Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME
1,9.73,9.73,4,10.23,10.23,2,9.74,9.74,5,10.41,10.41,3,9.96,9.96
3,14.21,23.94,4,13.83,24.06,2,14.05,23.79,5,13.82,24.23,1,13.72,23.68
3,12.09,36.03,4,12.24,36.30,2,12.10,35.89,5,12.22,36.45,1,12.12,35.80
3,11.74,47.77,4,11.62,47.92,2,11.79,47.68,5,11.61,48.06,1,11.80,47.60
3,12.73,1:00.50,4,12.78,1:00.70,2,12.66,1:00.34,5,12.74,1:00.80,1,12.61,1:00.21
4,12.10,1:12.60,3,11.85,1:12.55,1,12.08,1:12.42,5,11.90,1:12.70,2,12.23,1:12.44
5,10.46,1:23.06,2,10.32,1:22.87,3,10.48,1:22.90,1,10.13,1:22.83,4,10.52,1:22.96
3,10.07,1:33.13,2,10.19,1:33.06,5,10.25,1:33.15,1,10.13,1:32.96,4,10.17,1:33.13
5,10.26,1:43.39,2,10.15,1:43.21,3,10.18,1:43.33,1,10.14,1:43.10,4,10.26,1:43.39
4,9.89,1:53.28,2,9.86,1:53.07,3,9.87,1:53.20,1,9.88,1:52.98,5,14.24,1:57.63
3,9.65,2:02.93,1,9.67,2:02.74,4,9.83,2:03.03,2,9.82,2:02.80,5,12.49,2:10.12
3,9.53,2:12.46,1,9.54,2:12.28,4,9.73,2:12.76,2,9.61,2:12.41,5,12.79,2:22.91
3,9.71,2:22.17,1,9.67,2:21.95,4,9.83,2:22.59,2,9.65,2:22.06,5,12.15,2:35.06
3,10.04,2:32.203,1,10.15,2:32.094,4,10.09,2:32.675,2,10.12,2:32.179,5,11.89,2:46.949
